№ помещения;Адрес объекта;Кадастровый номер объекта;Вид помещения;Правообладатель (правообладатели);Долевая площадь, м²;Общая площадь, м²;Доля собственника;Вид собственности;Запись в ЕГРН, №;Дата регистрации права
8;г. Примерск, ул. Тестовая, д. 1, кв. 8;00:00:0000000:108;Квартира;Семёнова Анна Сергеевна;36,4;36,4;1;Собственность;00:00:0000000:1013-00/000/2021-13;04.02.2021
9;г. Примерск, ул. Тестовая, д. 1, кв. 9;00:00:0000000:109;Квартира;Смирнов Дмитрий Сергеевич;43,95;87,9;1/2;Общая долевая собственность;00:00:0000000:1014-00/000/2024-14;04.01.2024
;;;;Фёдоров Михаил Николаевич;43,95;;1/2;Общая долевая собственность;00:00:0000000:1015-00/000/2019-15;27.03.2019
10;г. Примерск, ул. Тестовая, д. 1, кв. 10;00:00:0000000:110;Квартира;Сидорова Мария Андреевна;36,6;36,6;1;Собственность;00:00:0000000:1016-00/000/2023-16;15.07.2023
11;г. Примерск, ул. Тестовая, д. 1, кв. 11;00:00:0000000:111;Квартира;Фёдоров Михаил Николаевич;41,8;41,8;1;Собственность;00:00:0000000:1017-00/000/2017-17;15.10.2017
12;г. Примерск, ул. Тестовая, д. 1, кв. 12;00:00:0000000:112;Квартира;Алексеев Олег Сергеевич;25,03;75,1;1/3;Общая долевая собственность;00:00:0000000:1018-00/000/2020-18;23.06.2020
12;г. Примерск, ул. Тестовая, д. 1, кв. 12;00:00:0000000:112;Квартира;Михайлов Николай Иванович;25,03;75,1;1/3;Общая долевая собственность;00:00:0000000:1019-00/000/2010-19;13.04.2010
12;г. Примерск, ул. Тестовая, д. 1, кв. 12;00:00:0000000:112;Квартира;Петров Алексей Иванович;25,04;75,1;1/3;Общая долевая собственность;00:00:0000000:1020-00/000/2021-20;17.01.2021
13;г. Примерск, ул. Тестовая, д. 1, кв. 13;00:00:0000000:113;Квартира;Кузнецов Андрей Андреевич;61,5;61,5;1;Собственность;00:00:0000000:1021-00/000/2007-21;05.09.2007
14;г. Примерск, ул. Тестовая, д. 1, кв. 14;00:00:0000000:114;Квартира;Егорова Татьяна Николаевна;30,75;61,5;1/2;Общая долевая собственность;00:00:0000000:1022-00/000/2011-22;06.09.2011
14;г. Примерск, ул. Тестовая, д. 1, кв. 14;00:00:0000000:114;Квартира;Лебедева Светлана Андреевна;30,75;61,5;1/2;Общая долевая собственность;00:00:0000000:1023-00/000/2017-23;21.02.2017
15;г. Примерск, ул. Тестовая, д. 1, кв. 15;00:00:0000000:115;Квартира;Морозов Сергей Николаевич;61,3;61,3;1;Собственность;00:00:0000000:1024-00/000/2011-24;20.07.2011
16;г. Примерск, ул. Тестовая, д. 1, кв. 16;00:00:0000000:116;Квартира;Степанова Галина Николаевна;88,4;88,4;1;Собственность;00:00:0000000:1025-00/000/2011-25;27.05.2011
17;г. Примерск, ул. Тестовая, д. 1, кв. 17;00:00:0000000:117;Квартира;Михайлов Олег Николаевич;54,5;54,5;1;Собственность;00:00:0000000:1026-00/000/2020-26;06.08.2020
18;г. Примерск, ул. Тестовая, д. 1, кв. 18;00:00:0000000:118;Квартира;Соколов Иван Андреевич;13,93;41,8;1/3;Общая долевая собственность;00:00:0000000:1027-00/000/2018-27;04.07.2018
18;г. Примерск, ул. Тестовая, д. 1, кв. 18;00:00:0000000:118;Квартира;Васильев Сергей Николаевич;13,93;41,8;1/3;Общая долевая собственность;00:00:0000000:1028-00/000/2003-28;15.07.2003
18;г. Примерск, ул. Тестовая, д. 1, кв. 18;00:00:0000000:118;Квартира;Волкова Ольга Сергеевна;13,94;41,8;1/3;Общая долевая собственность;00:00:0000000:1029-00/000/2021-29;27.04.2021
19;г. Примерск, ул. Тестовая, д. 1, кв. 19;00:00:0000000:119;Квартира;Соколов Иван Иванович;55;55;1;Собственность;00:00:0000000:1030-00/000/2018-30;12.04.2018
20;г. Примерск, ул. Тестовая, д. 1, кв. 20;00:00:0000000:120;Квартира;Новиков Андрей Андреевич;42,1;42,1;1;Собственность;00:00:0000000:1031-00/000/2013-31;02.12.2013
21;г. Примерск, ул. Тестовая, д. 1, кв. 21;00:00:0000000:121;Квартира;Соколова Светлана Петровна;21,15;42,3;1/2;Общая долевая собственность;00:00:0000000:1032-00/000/2017-32;08.05.2017
;;;;Фёдорова Ирина Андреевна;21,15;;1/2;Общая долевая собственность;00:00:0000000:1033-00/000/2016-33;07.08.2016
22;г. Примерск, ул. Тестовая, д. 1, кв. 22;00:00:0000000:122;Квартира;Новикова Мария Сергеевна;88,4;88,4;1;Собственность;00:00:0000000:1034-00/000/2021-34;22.10.2021
23;г. Примерск, ул. Тестовая, д. 1, кв. 23;00:00:0000000:123;Квартира;Соколов Сергей Андреевич;74,6;74,6;1;Собственность;00:00:0000000:1035-00/000/2012-35;12.12.2012
24;г. Примерск, ул. Тестовая, д. 1, кв. 24;00:00:0000000:124;Квартира;Алексеева Наталья Николаевна;41,8;41,8;1;Собственность;00:00:0000000:1036-00/000/2020-36;17.11.2020
25;г. Примерск, ул. Тестовая, д. 1, кв. 25;00:00:0000000:125;Квартира;Фёдорова Ирина Сергеевна;36,1;36,1;1;Собственность;00:00:0000000:1037-00/000/2003-37;01.07.2003
26;г. Примерск, ул. Тестовая, д. 1, кв. 26;00:00:0000000:126;Квартира;Степанов Иван Петрович;55;55;1;Собственность;00:00:0000000:1038-00/000/2006-38;14.11.2006
27;г. Примерск, ул. Тестовая, д. 1, кв. 27;00:00:0000000:127;Квартира;Степанова Наталья Николаевна;36,1;36,1;1;Собственность;00:00:0000000:1039-00/000/2017-39;21.11.2017
28;г. Примерск, ул. Тестовая, д. 1, кв. 28;00:00:0000000:128;Квартира;Морозов Дмитрий Андреевич;36,1;36,1;1;Собственность;00:00:0000000:1040-00/000/2011-40;16.04.2011
29;г. Примерск, ул. Тестовая, д. 1, кв. 29;00:00:0000000:129;Квартира;Алексеева Ирина Петровна;61,5;61,5;1;Собственность;00:00:0000000:1041-00/000/2014-41;02.06.2014
30;г. Примерск, ул. Тестовая, д. 1, кв. 30;00:00:0000000:130;Квартира;Козлова Вера Петровна;18,33;55;1/3;Общая долевая собственность;00:00:0000000:1042-00/000/2016-42;15.05.2016
30;г. Примерск, ул. Тестовая, д. 1, кв. 30;00:00:0000000:130;Квартира;Соколов Михаил Николаевич;18,33;55;1/3;Общая долевая собственность;00:00:0000000:1043-00/000/2008-43;09.12.2008
30;г. Примерск, ул. Тестовая, д. 1, кв. 30;00:00:0000000:130;Квартира;Алексеев Пётр Николаевич;18,34;55;1/3;Общая долевая собственность;00:00:0000000:1044-00/000/2010-44;05.08.2010
31;г. Примерск, ул. Тестовая, д. 1, кв. 31;00:00:0000000:131;Квартира;Лебедева Наталья Николаевна;61;61;1;Собственность;00:00:0000000:1045-00/000/2005-45;27.05.2005
32;г. Примерск, ул. Тестовая, д. 1, кв. 32;00:00:0000000:132;Квартира;Семёнов Пётр Иванович;61,3;61,3;1;Собственность;00:00:0000000:1046-00/000/2010-46;12.03.2010
33;г. Примерск, ул. Тестовая, д. 1, кв. 33;00:00:0000000:133;Квартира;Козлов Дмитрий Сергеевич;54,5;54,5;1;Собственность;00:00:0000000:1047-00/000/2019-47;22.09.2019
34;г. Примерск, ул. Тестовая, д. 1, кв. 34;00:00:0000000:134;Квартира;Михайлова Елена Петровна;12,03;36,1;1/3;Общая долевая собственность;00:00:0000000:1048-00/000/2024-48;22.05.2024
34;г. Примерск, ул. Тестовая, д. 1, кв. 34;00:00:0000000:134;Квартира;Васильев Юрий Сергеевич;12,03;36,1;1/3;Общая долевая собственность;00:00:0000000:1049-00/000/2006-49;25.07.2006
34;г. Примерск, ул. Тестовая, д. 1, кв. 34;00:00:0000000:134;Квартира;Смирнов Николай Иванович;12,04;36,1;1/3;Общая долевая собственность;00:00:0000000:1050-00/000/2009-50;18.02.2009
35;г. Примерск, ул. Тестовая, д. 1, кв. 35;00:00:0000000:135;Квартира;Семёнов Михаил Иванович;88,2;88,2;1;Собственность;00:00:0000000:1051-00/000/2006-51;21.01.2006
36;г. Примерск, ул. Тестовая, д. 1, кв. 36;00:00:0000000:136;Квартира;Семёнова Татьяна Андреевна;21,05;42,1;1/2;Общая долевая собственность;00:00:0000000:1052-00/000/2022-52;11.03.2022
36;г. Примерск, ул. Тестовая, д. 1, кв. 36;00:00:0000000:136;Квартира;Козлов Пётр Сергеевич;21,05;42,1;1/2;Общая долевая собственность;00:00:0000000:1053-00/000/2014-53;07.04.2014
37;г. Примерск, ул. Тестовая, д. 1, кв. 37;00:00:0000000:137;Квартира;Смирнов Дмитрий Андреевич;18,33;55;1/3;Общая долевая собственность;00:00:0000000:1054-00/000/2018-54;09.05.2018
;;;;Алексеева Наталья Петровна;18,33;;1/3;Общая долевая собственность;00:00:0000000:1055-00/000/2005-55;11.08.2005
;;;;Лебедев Николай Сергеевич;18,34;;1/3;Общая долевая собственность;00:00:0000000:1056-00/000/2016-56;19.07.2016
38;г. Примерск, ул. Тестовая, д. 1, кв. 38;00:00:0000000:138;Квартира;Соколов Дмитрий Николаевич;54,8;54,8;1;Собственность;00:00:0000000:1057-00/000/2021-57;28.10.2021
39;г. Примерск, ул. Тестовая, д. 1, кв. 39;00:00:0000000:139;Квартира;Попов Сергей Сергеевич;75,1;75,1;1;Собственность;00:00:0000000:1058-00/000/2004-58;15.03.2004
40;г. Примерск, ул. Тестовая, д. 1, кв. 40;00:00:0000000:140;Квартира;Волкова Мария Сергеевна;87,9;87,9;1;Собственность;00:00:0000000:1059-00/000/2016-59;03.12.2016
41;г. Примерск, ул. Тестовая, д. 1, кв. 41;00:00:0000000:141;Квартира;Соколова Ирина Петровна;36,1;36,1;1;Собственность;00:00:0000000:1060-00/000/2018-60;05.01.2018
42;г. Примерск, ул. Тестовая, д. 1, кв. 42;00:00:0000000:142;Квартира;Смирнов Иван Сергеевич;61,3;61,3;1;Собственность;00:00:0000000:1061-00/000/2003-61;27.06.2003
43;г. Примерск, ул. Тестовая, д. 1, кв. 43;00:00:0000000:143;Квартира;Лебедева Ольга Сергеевна;18,17;54,5;1/3;Общая долевая собственность;00:00:0000000:1062-00/000/2016-62;15.12.2016
;;;;Семёнов Сергей Сергеевич;18,17;;1/3;Общая долевая собственность;00:00:0000000:1063-00/000/2018-63;14.11.2018
;;;;Морозов Олег Андреевич;18,16;;1/3;Общая долевая собственность;00:00:0000000:1064-00/000/2010-64;02.02.2010
44;г. Примерск, ул. Тестовая, д. 1, кв. 44;00:00:0000000:144;Квартира;Иванов Юрий Сергеевич;44,1;88,2;1/2;Общая долевая собственность;00:00:0000000:1065-00/000/2009-65;28.12.2009
44;г. Примерск, ул. Тестовая, д. 1, кв. 44;00:00:0000000:144;Квартира;Степанова Наталья Ивановна;44,1;88,2;1/2;Общая долевая собственность;00:00:0000000:1066-00/000/2021-66;20.10.2021
45;г. Примерск, ул. Тестовая, д. 1, кв. 45;00:00:0000000:145;Квартира;Фёдоров Иван Петрович;74,9;74,9;1;Собственность;00:00:0000000:1067-00/000/2013-67;03.12.2013
46;г. Примерск, ул. Тестовая, д. 1, кв. 46;00:00:0000000:146;Квартира;Морозова Мария Андреевна;61,5;61,5;1;Собственность;00:00:0000000:1068-00/000/2010-68;15.03.2010
47;г. Примерск, ул. Тестовая, д. 1, кв. 47;00:00:0000000:147;Квартира;Новиков Андрей Николаевич;12,03;36,1;1/3;Общая долевая собственность;00:00:0000000:1069-00/000/2010-69;02.10.2010
;;;;Волкова Татьяна Сергеевна;12,03;;1/3;Общая долевая собственность;00:00:0000000:1070-00/000/2009-70;26.03.2009
;;;;Васильева Наталья Андреевна;12,04;;1/3;Общая долевая собственность;00:00:0000000:1071-00/000/2023-71;23.11.2023
48;г. Примерск, ул. Тестовая, д. 1, кв. 48;00:00:0000000:148;Квартира;Морозов Дмитрий Николаевич;42,3;42,3;1;Собственность;00:00:0000000:1072-00/000/2018-72;21.07.2018
49;г. Примерск, ул. Тестовая, д. 1, кв. 49;00:00:0000000:149;Квартира;Морозов Юрий Петрович;37,45;74,9;1/2;Общая долевая собственность;00:00:0000000:1073-00/000/2019-73;27.11.2019
;;;;Алексеева Светлана Николаевна;37,45;;1/2;Общая долевая собственность;00:00:0000000:1074-00/000/2025-74;21.12.2025
50;г. Примерск, ул. Тестовая, д. 1, кв. 50;00:00:0000000:150;Квартира;Новиков Михаил Николаевич;61,3;61,3;1;Собственность;00:00:0000000:1075-00/000/2011-75;15.06.2011
51;г. Примерск, ул. Тестовая, д. 1, кв. 51;00:00:0000000:151;Квартира;Семёнов Юрий Андреевич;36,6;36,6;1;Собственность;00:00:0000000:1076-00/000/2015-76;04.05.2015
52;г. Примерск, ул. Тестовая, д. 1, кв. 52;00:00:0000000:152;Квартира;Фёдоров Иван Иванович;41,8;41,8;1;Собственность;00:00:0000000:1077-00/000/2007-77;28.10.2007
53;г. Примерск, ул. Тестовая, д. 1, кв. 53;00:00:0000000:153;Квартира;Попова Галина Ивановна;20,43;61,3;1/3;Общая долевая собственность;00:00:0000000:1078-00/000/2004-78;23.04.2004
;;;;Сидоров Пётр Петрович;20,43;;1/3;Общая долевая собственность;00:00:0000000:1079-00/000/2021-79;03.11.2021
;;;;Фёдорова Вера Сергеевна;20,44;;1/3;Общая долевая собственность;00:00:0000000:1080-00/000/2017-80;19.07.2017
54;г. Примерск, ул. Тестовая, д. 1, кв. 54;00:00:0000000:154;Квартира;Смирнова Ирина Ивановна;61;61;1;Собственность;00:00:0000000:1081-00/000/2018-81;03.06.2018
55;г. Примерск, ул. Тестовая, д. 1, кв. 55;00:00:0000000:155;Квартира;Новикова Галина Петровна;54,5;54,5;1;Собственность;00:00:0000000:1082-00/000/2021-82;11.08.2021
56;г. Примерск, ул. Тестовая, д. 1, кв. 56;00:00:0000000:156;Квартира;Петров Михаил Иванович;61;61;1;Собственность;00:00:0000000:1083-00/000/2017-83;27.08.2017
57;г. Примерск, ул. Тестовая, д. 1, кв. 57;00:00:0000000:157;Квартира;Новиков Николай Иванович;30,75;61,5;1/2;Общая долевая собственность;00:00:0000000:1084-00/000/2011-84;27.03.2011
;;;;Попов Дмитрий Сергеевич;30,75;;1/2;Общая долевая собственность;00:00:0000000:1085-00/000/2016-85;26.12.2016
58;г. Примерск, ул. Тестовая, д. 1, кв. 58;00:00:0000000:158;Квартира;Новикова Мария Николаевна;30,75;61,5;1/2;Общая долевая собственность;00:00:0000000:1086-00/000/2011-86;20.11.2011
58;г. Примерск, ул. Тестовая, д. 1, кв. 58;00:00:0000000:158;Квартира;Михайлов Алексей Петрович;30,75;61,5;1/2;Общая долевая собственность;00:00:0000000:1087-00/000/2008-87;24.04.2008
59;г. Примерск, ул. Тестовая, д. 1, кв. 59;00:00:0000000:159;Квартира;Степанов Иван Николаевич;74,6;74,6;1;Собственность;00:00:0000000:1088-00/000/2024-88;28.11.2024
60;г. Примерск, ул. Тестовая, д. 1, кв. 60;00:00:0000000:160;Квартира;Новикова Галина Николаевна;18,27;54,8;1/3;Общая долевая собственность;00:00:0000000:1089-00/000/2018-89;15.06.2018
60;г. Примерск, ул. Тестовая, д. 1, кв. 60;00:00:0000000:160;Квартира;Фёдоров Иван Николаевич;18,27;54,8;1/3;Общая долевая собственность;00:00:0000000:1090-00/000/2010-90;03.10.2010
60;г. Примерск, ул. Тестовая, д. 1, кв. 60;00:00:0000000:160;Квартира;Семёнова Галина Андреевна;18,26;54,8;1/3;Общая долевая собственность;00:00:0000000:1091-00/000/2018-91;11.12.2018
61;г. Примерск, ул. Тестовая, д. 1, кв. 61;00:00:0000000:161;Квартира;Павлов Андрей Николаевич;61,5;61,5;1;Собственность;00:00:0000000:1092-00/000/2019-92;25.11.2019
62;г. Примерск, ул. Тестовая, д. 1, кв. 62;00:00:0000000:162;Квартира;Морозов Михаил Андреевич;54,5;54,5;1;Собственность;00:00:0000000:1093-00/000/2010-93;19.08.2010
63;г. Примерск, ул. Тестовая, д. 1, кв. 63;00:00:0000000:163;Квартира;Степанова Елена Петровна;44,1;88,2;1/2;Общая долевая собственность;00:00:0000000:1094-00/000/2021-94;28.02.2021
;;;;Алексеев Андрей Андреевич;44,1;;1/2;Общая долевая собственность;00:00:0000000:1095-00/000/2024-95;12.08.2024
64;г. Примерск, ул. Тестовая, д. 1, кв. 64;00:00:0000000:164;Квартира;Егоров Алексей Петрович;88,2;88,2;1;Собственность;00:00:0000000:1096-00/000/2006-96;25.12.2006
65;г. Примерск, ул. Тестовая, д. 1, кв. 65;00:00:0000000:165;Квартира;Кузнецова Светлана Ивановна;54,8;54,8;1;Собственность;00:00:0000000:1097-00/000/2006-97;26.05.2006
66;г. Примерск, ул. Тестовая, д. 1, кв. 66;00:00:0000000:166;Квартира;Михайлов Николай Петрович;42,3;42,3;1;Собственность;00:00:0000000:1098-00/000/2012-98;18.03.2012
67;г. Примерск, ул. Тестовая, д. 1, кв. 67;00:00:0000000:167;Квартира;Фёдорова Анна Ивановна;55;55;1;Собственность;00:00:0000000:1099-00/000/2024-99;03.05.2024
68;г. Примерск, ул. Тестовая, д. 1, кв. 68;00:00:0000000:168;Квартира;Морозова Наталья Сергеевна;88,2;88,2;1;Собственность;00:00:0000000:1100-00/000/2005-100;08.11.2005
69;г. Примерск, ул. Тестовая, д. 1, кв. 69;00:00:0000000:169;Квартира;Лебедев Андрей Андреевич;42,1;42,1;1;Собственность;00:00:0000000:1101-00/000/2005-101;06.10.2005
70;г. Примерск, ул. Тестовая, д. 1, кв. 70;00:00:0000000:170;Квартира;Петрова Елена Сергеевна;14,03;42,1;1/3;Общая долевая собственность;00:00:0000000:1102-00/000/2003-102;13.05.2003
70;г. Примерск, ул. Тестовая, д. 1, кв. 70;00:00:0000000:170;Квартира;Козлова Вера Николаевна;14,03;42,1;1/3;Общая долевая собственность;00:00:0000000:1103-00/000/2025-103;12.07.2025
70;г. Примерск, ул. Тестовая, д. 1, кв. 70;00:00:0000000:170;Квартира;Васильева Вера Ивановна;14,04;42,1;1/3;Общая долевая собственность;00:00:0000000:1104-00/000/2024-104;18.06.2024
71;г. Примерск, ул. Тестовая, д. 1, кв. 71;00:00:0000000:171;Квартира;Алексеева Мария Ивановна;30,75;61,5;1/2;Общая долевая собственность;00:00:0000000:1105-00/000/2013-105;19.03.2013
;;;;Иванова Мария Николаевна;30,75;;1/2;Общая долевая собственность;00:00:0000000:1106-00/000/2020-106;02.04.2020
72;г. Примерск, ул. Тестовая, д. 1, кв. 72;00:00:0000000:172;Квартира;Петров Олег Николаевич;36,1;36,1;1;Собственность;00:00:0000000:1107-00/000/2016-107;02.01.2016
73;г. Примерск, ул. Тестовая, д. 1, кв. 73;00:00:0000000:173;Квартира;Новикова Галина Сергеевна;41,8;41,8;1;Собственность;00:00:0000000:1108-00/000/2019-108;16.04.2019
74;г. Примерск, ул. Тестовая, д. 1, кв. 74;00:00:0000000:174;Квартира;Кузнецов Олег Андреевич;61,3;61,3;1;Собственность;00:00:0000000:1109-00/000/2025-109;07.09.2025
75;г. Примерск, ул. Тестовая, д. 1, кв. 75;00:00:0000000:175;Квартира;Егорова Анна Сергеевна;30,65;61,3;1/2;Общая долевая собственность;00:00:0000000:1110-00/000/2009-110;06.11.2009
;;;;Васильева Анна Ивановна;30,65;;1/2;Общая долевая собственность;00:00:0000000:1111-00/000/2003-111;19.04.2003
76;г. Примерск, ул. Тестовая, д. 1, кв. 76;00:00:0000000:176;Квартира;Семёнов Юрий Петрович;61,3;61,3;1;Собственность;00:00:0000000:1112-00/000/2014-112;04.11.2014
77;г. Примерск, ул. Тестовая, д. 1, кв. 77;00:00:0000000:177;Квартира;Лебедева Ольга Андреевна;88,4;88,4;1;Собственность;00:00:0000000:1113-00/000/2014-113;16.10.2014
78;г. Примерск, ул. Тестовая, д. 1, кв. 78;00:00:0000000:178;Квартира;Степанова Анна Петровна;88,4;88,4;1;Собственность;00:00:0000000:1114-00/000/2003-114;26.06.2003
79;г. Примерск, ул. Тестовая, д. 1, кв. 79;00:00:0000000:179;Квартира;Михайлова Мария Сергеевна;14,1;42,3;1/3;Общая долевая собственность;00:00:0000000:1115-00/000/2005-115;28.09.2005
;;;;Степанова Наталья Николаевна;14,1;;1/3;Общая долевая собственность;00:00:0000000:1116-00/000/2005-116;08.08.2005
;;;;Новикова Наталья Ивановна;14,1;;1/3;Общая долевая собственность;00:00:0000000:1117-00/000/2024-117;11.02.2024
80;г. Примерск, ул. Тестовая, д. 1, кв. 80;00:00:0000000:180;Квартира;Петров Михаил Иванович;61,3;61,3;1;Собственность;00:00:0000000:1118-00/000/2010-118;02.01.2010
81;г. Примерск, ул. Тестовая, д. 1, кв. 81;00:00:0000000:181;Квартира;Козлов Андрей Сергеевич;54,8;54,8;1;Собственность;00:00:0000000:1119-00/000/2014-119;27.12.2014
82;г. Примерск, ул. Тестовая, д. 1, кв. 82;00:00:0000000:182;Квартира;Сидорова Елена Сергеевна;37,45;74,9;1/2;Общая долевая собственность;00:00:0000000:1120-00/000/2015-120;20.07.2015
82;г. Примерск, ул. Тестовая, д. 1, кв. 82;00:00:0000000:182;Квартира;Кузнецова Наталья Андреевна;37,45;74,9;1/2;Общая долевая собственность;00:00:0000000:1121-00/000/2008-121;07.01.2008
83;г. Примерск, ул. Тестовая, д. 1, кв. 83;00:00:0000000:183;Квартира;Козлова Галина Ивановна;75,1;75,1;1;Собственность;00:00:0000000:1122-00/000/2007-122;07.04.2007
84;г. Примерск, ул. Тестовая, д. 1, кв. 84;00:00:0000000:184;Квартира;Смирнов Сергей Андреевич;18,27;54,8;1/3;Общая долевая собственность;00:00:0000000:1123-00/000/2015-123;07.12.2015
84;г. Примерск, ул. Тестовая, д. 1, кв. 84;00:00:0000000:184;Квартира;Степанов Михаил Петрович;18,27;54,8;1/3;Общая долевая собственность;00:00:0000000:1124-00/000/2005-124;04.03.2005
84;г. Примерск, ул. Тестовая, д. 1, кв. 84;00:00:0000000:184;Квартира;Иванова Татьяна Ивановна;18,26;54,8;1/3;Общая долевая собственность;00:00:0000000:1125-00/000/2010-125;04.01.2010
85;г. Примерск, ул. Тестовая, д. 1, кв. 85;00:00:0000000:185;Квартира;Васильева Мария Петровна;75,1;75,1;1;Собственность;00:00:0000000:1126-00/000/2014-126;23.07.2014
86;г. Примерск, ул. Тестовая, д. 1, кв. 86;00:00:0000000:186;Квартира;Смирнов Николай Иванович;36,4;36,4;1;Собственность;00:00:0000000:1127-00/000/2017-127;16.04.2017
87;г. Примерск, ул. Тестовая, д. 1, кв. 87;00:00:0000000:187;Квартира;Смирнов Иван Сергеевич;27,5;55;1/2;Общая долевая собственность;00:00:0000000:1128-00/000/2006-128;13.11.2006
;;;;Семёнова Галина Сергеевна;27,5;;1/2;Общая долевая собственность;00:00:0000000:1129-00/000/2013-129;07.09.2013
88;г. Примерск, ул. Тестовая, д. 1, кв. 88;00:00:0000000:188;Квартира;Семёнов Николай Сергеевич;18,05;36,1;1/2;Общая долевая собственность;00:00:0000000:1130-00/000/2018-130;24.04.2018
88;г. Примерск, ул. Тестовая, д. 1, кв. 88;00:00:0000000:188;Квартира;Павлов Иван Иванович;18,05;36,1;1/2;Общая долевая собственность;00:00:0000000:1131-00/000/2021-131;02.09.2021
89;г. Примерск, ул. Тестовая, д. 1, кв. 89;00:00:0000000:189;Квартира;Степанова Галина Ивановна;24,87;74,6;1/3;Общая долевая собственность;00:00:0000000:1132-00/000/2006-132;05.05.2006
;;;;Соколов Иван Николаевич;24,87;;1/3;Общая долевая собственность;00:00:0000000:1133-00/000/2006-133;21.01.2006
;;;;Степанов Сергей Николаевич;24,86;;1/3;Общая долевая собственность;00:00:0000000:1134-00/000/2016-134;05.07.2016
90;г. Примерск, ул. Тестовая, д. 1, кв. 90;00:00:0000000:190;Квартира;Лебедев Николай Сергеевич;54,8;54,8;1;Собственность;00:00:0000000:1135-00/000/2014-135;06.09.2014
91;г. Примерск, ул. Тестовая, д. 1, кв. 91;00:00:0000000:191;Квартира;Михайлова Вера Николаевна;55;55;1;Собственность;00:00:0000000:1136-00/000/2022-136;21.10.2022
92;г. Примерск, ул. Тестовая, д. 1, кв. 92;00:00:0000000:192;Квартира;Соколова Анна Петровна;29,47;88,4;1/3;Общая долевая собственность;00:00:0000000:1137-00/000/2019-137;18.11.2019
92;г. Примерск, ул. Тестовая, д. 1, кв. 92;00:00:0000000:192;Квартира;Семёнов Алексей Сергеевич;29,47;88,4;1/3;Общая долевая собственность;00:00:0000000:1138-00/000/2009-138;18.02.2009
92;г. Примерск, ул. Тестовая, д. 1, кв. 92;00:00:0000000:192;Квартира;Алексеев Сергей Иванович;29,46;88,4;1/3;Общая долевая собственность;00:00:0000000:1139-00/000/2017-139;26.08.2017
93;г. Примерск, ул. Тестовая, д. 1, кв. 93;00:00:0000000:193;Квартира;Фёдорова Ольга Ивановна;27,4;54,8;1/2;Общая долевая собственность;00:00:0000000:1140-00/000/2005-140;27.06.2005
;;;;Смирнова Ирина Ивановна;27,4;;1/2;Общая долевая собственность;00:00:0000000:1141-00/000/2006-141;18.11.2006
94;г. Примерск, ул. Тестовая, д. 1, кв. 94;00:00:0000000:194;Квартира;Лебедева Татьяна Петровна;61;61;1;Собственность;00:00:0000000:1142-00/000/2003-142;24.11.2003
95;г. Примерск, ул. Тестовая, д. 1, кв. 95;00:00:0000000:195;Квартира;Егорова Анна Андреевна;25,03;75,1;1/3;Общая долевая собственность;00:00:0000000:1143-00/000/2004-143;01.05.2004
;;;;Соколов Олег Николаевич;25,03;;1/3;Общая долевая собственность;00:00:0000000:1144-00/000/2006-144;16.04.2006
;;;;Кузнецова Ольга Николаевна;25,04;;1/3;Общая долевая собственность;00:00:0000000:1145-00/000/2007-145;21.10.2007
